id,product_id,plan_name,price_monthly,price_annual,billing_model,currency,features,product_name
36,9,Scale,69.99,,per-seat,USD,"[""Advanced budgeting"", ""Custom reports"", ""Priority support""]",Teamwork
37,10,Free,0.0,,flat,USD,"[""Unlimited members"", ""250 issues"", ""2 teams""]",Linear
38,10,Basic,10.0,,per-seat,USD,"[""5 teams"", ""Unlimited issues"", ""Admin roles""]",Linear
39,10,Business,16.0,,per-seat,USD,"[""Unlimited teams"", ""Private teams"", ""SLAs"", ""Insights""]",Linear
40,10,Enterprise,,,per-seat,USD,"[""SAML/SCIM"", ""Advanced security"", ""Dedicated support""]",Linear
41,11,Free,0.0,,flat,USD,"[""Unlimited members"", ""Basic features"", ""100 tasks""]",Height
42,11,Team,8.5,,per-seat,USD,"[""Unlimited tasks"", ""Forms"", ""Integrations""]",Height
43,11,Business,15.0,,per-seat,USD,"[""Advanced automations"", ""SSO"", ""Priority support""]",Height
44,12,Free,0.0,,flat,USD,"[""Up to 10 users"", ""Core PM features""]",Hive
45,12,Starter,5.0,,per-seat,USD,"[""Unlimited users"", ""Gantt charts"", ""Integrations""]",Hive
46,12,Teams,12.0,,per-seat,USD,"[""Timesheets"", ""Resources"", ""Analytics""]",Hive
47,12,Enterprise,,,per-seat,USD,"[""SSO"", ""Custom onboarding"", ""SLA""]",Hive
48,13,Pro,9.0,,per-seat,USD,"[""Unlimited sheets"", ""Gantt"", ""Forms""]",Smartsheet
49,13,Business,19.0,,per-seat,USD,"[""Unlimited automations"", ""Proofing"", ""Unlimited viewers""]",Smartsheet
50,13,Enterprise,,,per-seat,USD,"[""SSO/SAML"", ""Admin controls"", ""WorkApps""]",Smartsheet
51,14,Free,0.0,,flat,USD,"[""Unlimited bases"", ""1000 records/base"", ""1GB/base""]",Airtable
52,14,Team,20.0,,per-seat,USD,"[""50K records/base"", ""20GB/base"", ""Automations""]",Airtable
53,14,Business,45.0,,per-seat,USD,"[""125K records/base"", ""100GB/base"", ""Admin panel""]",Airtable
54,14,Enterprise Scale,,,per-seat,USD,"[""500K records/base"", ""1TB/base"", ""Enterprise security""]",Airtable
55,15,Beginner,0.0,,flat,USD,"[""5 personal projects"", ""5 collaborators/project""]",Todoist
56,15,Pro,5.0,,per-seat,USD,"[""300 projects"", ""25 collaborators"", ""Reminders"", ""Calendar""]",Todoist
57,15,Business,8.0,,per-seat,USD,"[""500 projects"", ""50 collaborators"", ""Team features""]",Todoist
58,16,Free,0.0,,flat,USD,"[""3 editable boards"", ""Unlimited team members""]",Miro
59,16,Starter,8.0,,per-seat,USD,"[""Unlimited boards"", ""Private boards""]",Miro
60,16,Business,20.0,,per-seat,USD,"[""SSO"", ""Smart diagramming"", ""Guest access""]",Miro
61,16,Enterprise,,,per-seat,USD,"[""Advanced security"", ""Support SLA"", ""SCIM""]",Miro
62,17,Free,0.0,,flat,USD,"[""Unlimited editors"", ""Unlimited docs"", ""Basic features""]",Coda
63,17,Pro,10.0,,flat,USD,"[""Unlimited pages"", ""Custom domains"", ""Hidden pages""]",Coda
64,17,Team,30.0,,flat,USD,"[""Shared permissions"", ""Private docs"", ""Advanced automations""]",Coda
65,17,Enterprise,,,flat,USD,"[""SSO"", ""Audit logs"", ""Advanced security""]",Coda
66,18,Free,0.0,,flat,USD,"[""Up to 10 users"", ""Core features""]",Shortcut (formerly Clubhouse)
67,18,Team,8.5,,per-seat,USD,"[""Unlimited users"", ""Iterations"", ""Reporting""]",Shortcut (formerly Clubhouse)
68,18,Business,12.0,,per-seat,USD,"[""Advanced reporting"", ""Custom fields""]",Shortcut (formerly Clubhouse)
69,18,Enterprise,,,per-seat,USD,"[""SSO/SAML"", ""SCIM"", ""Audit logs""]",Shortcut (formerly Clubhouse)
70,19,Free,0.0,,flat,USD,"[""Unlimited members"", ""2 active projects"", ""Basic features""]",Nifty
71,19,Starter,39.0,468.0,flat,USD,"[""Up to 10 members"", ""40 projects"", ""Time tracking""]",Nifty
72,19,Business,124.0,1488.0,flat,USD,"[""Up to 50 members"", ""Unlimited projects"", ""Workload management""]",Nifty
73,19,Unlimited,399.0,4788.0,flat,USD,"[""Unlimited members"", ""All features"", ""Priority support""]",Nifty
74,20,Free,0.0,,flat,USD,"[""3 users"", ""2 projects""]",Zoho Projects
75,20,Premium,5.0,,per-seat,USD,"[""Unlimited projects"", ""Gantt charts"", ""20 templates""]",Zoho Projects
76,20,Enterprise,10.0,,per-seat,USD,"[""30 templates"", ""Global Gantt"", ""Read-only users""]",Zoho Projects
77,21,Starter Suite,25.0,,per-seat,USD,"[""CRM, sales, service & marketing"", ""Out-of-the-box reports""]",Salesforce
78,21,Pro Suite,100.0,,per-seat,USD,"[""Advanced pipeline management"", ""Customizable reports""]",Salesforce
79,21,Enterprise,165.0,,per-seat,USD,"[""Advanced customization"", ""API access""]",Salesforce
80,21,Unlimited,330.0,,per-seat,USD,"[""Premier success plan"", ""AI features""]",Salesforce
81,22,Free Tools,0.0,,flat,USD,"[""Contact management"", ""Forms"", ""Email marketing""]",HubSpot
82,22,Starter,20.0,,per-seat,USD,"[""1000 contacts"", ""Email automation"", ""Payments""]",HubSpot
83,22,Professional,890.0,,flat,USD,"[""2000 contacts"", ""Workflows"", ""Custom reporting""]",HubSpot
84,22,Enterprise,3600.0,,flat,USD,"[""10K contacts"", ""Custom objects"", ""Predictive lead scoring""]",HubSpot
85,23,Essential,14.0,168.0,per-seat,USD,"[""Pipeline management"", ""Lead management"", ""500+ integrations""]",Pipedrive
86,23,Growth,39.0,468.0,per-seat,USD,"[""Full email sync"", ""Workflow automations"", ""Reporting dashboard""]",Pipedrive
87,23,Professional,49.0,588.0,per-seat,USD,"[""AI sales assistant"", ""Revenue forecasting"", ""Custom user permissions""]",Pipedrive
88,23,Power,64.0,768.0,per-seat,USD,"[""Project planning"", ""Phone support"", ""Expanded automations""]",Pipedrive
89,23,Enterprise,99.0,1188.0,per-seat,USD,"[""Unlimited features"", ""Security alerts"", ""Implementation program""]",Pipedrive
90,24,Free,0.0,,flat,USD,"[""3 users"", ""Leads & contacts"", ""Tasks""]",Zoho CRM
91,24,Standard,20.0,,per-seat,USD,"[""Scoring rules"", ""Workflows"", ""Multiple pipelines""]",Zoho CRM
92,24,Professional,35.0,,per-seat,USD,"[""SalesSignals"", ""Blueprint"", ""Inventory management""]",Zoho CRM
93,24,Enterprise,50.0,,per-seat,USD,"[""Zia AI"", ""Custom modules"", ""Multi-user portals""]",Zoho CRM
94,24,Ultimate,65.0,,per-seat,USD,"[""Advanced BI"", ""Enhanced feature limits""]",Zoho CRM
95,25,Free,0.0,,flat,USD,"[""Unlimited users"", ""Contact management"", ""Built-in chat""]",Freshsales
96,25,Growth,11.0,,per-seat,USD,"[""Visual pipeline"", ""AI contact scoring"", ""Workflows""]",Freshsales
97,25,Pro,47.0,,per-seat,USD,"[""Multiple pipelines"", ""AI deal insights"", ""Custom modules""]",Freshsales
98,25,Enterprise,71.0,,per-seat,USD,"[""Forecasting"", ""Audit logs"", ""Custom objects""]",Freshsales
99,26,Startup,49.0,,per-seat,USD,"[""3 users"", ""Pipeline view"", ""Built-in calling""]",Close
100,26,Professional,99.0,,per-seat,USD,"[""Workflows"", ""Power Dialer"", ""Custom activities""]",Close
101,26,Enterprise,139.0,,per-seat,USD,"[""Predictive Dialer"", ""Custom objects"", ""Call coaching""]",Close
102,27,Starter,12.0,,per-seat,USD,"[""1000 contacts"", ""Google integration"", ""Pipelines""]",Copper
103,27,Basic,29.0,,per-seat,USD,"[""2500 contacts"", ""Task automation"", ""Activity feed""]",Copper
104,27,Professional,69.0,,per-seat,USD,"[""15K contacts"", ""Workflow automation"", ""Reporting""]",Copper
105,27,Business,134.0,,per-seat,USD,"[""Unlimited contacts"", ""Email sequences"", ""Custom reports""]",Copper
106,28,Free,0.0,,flat,USD,"[""2 users"", ""2500 records""]",Insightly
107,28,Plus,29.0,,per-seat,USD,"[""100K records"", ""25 email templates""]",Insightly
108,28,Professional,49.0,,per-seat,USD,"[""250K records"", ""100 email templates"", ""Workflows""]",Insightly
109,28,Enterprise,99.0,,per-seat,USD,"[""Unlimited records"", ""Custom objects"", ""Lambda functions""]",Insightly
110,29,Ignite,299.0,,flat,USD,"[""2 users"", ""1500 contacts"", ""Email & text marketing""]",Keap
111,29,Grow,399.0,,flat,USD,"[""3 users"", ""2500 contacts"", ""Advanced automations""]",Keap
112,29,Scale,599.0,,flat,USD,"[""5 users"", ""5000 contacts"", ""Lead scoring""]",Keap
113,30,Free,0.0,,flat,USD,"[""Basic CRM"", ""500 contacts"", ""50 emails/day""]",Streak
114,30,Solo,15.0,,per-seat,USD,"[""5000 contacts"", ""800 emails/day"", ""Link tracking""]",Streak
115,30,Pro,49.0,,per-seat,USD,"[""Unlimited contacts"", ""1500 emails/day"", ""Shared pipelines""]",Streak
116,30,Pro+,69.0,,per-seat,USD,"[""Advanced reporting"", ""Automation"", ""Custom permissions""]",Streak
117,30,Enterprise,129.0,,per-seat,USD,"[""Custom roles"", ""Priority support"", ""Data validation""]",Streak
118,31,Foundation,19.0,,per-seat,USD,"[""Contact management"", ""Email sync"", ""Calendar sync""]",Nutshell
119,31,Growth,32.0,,per-seat,USD,"[""Pipeline automation"", ""Personal email sequences""]",Nutshell
120,31,Pro,49.0,,per-seat,USD,"[""AI tools"", ""Multiple pipelines"", ""Full reporting""]",Nutshell
121,31,Business,67.0,,per-seat,USD,"[""Increased AI limits"", ""Advanced automation""]",Nutshell
122,31,Enterprise,89.0,,per-seat,USD,"[""Unlimited pipelines"", ""Audit log"", ""Priority support""]",Nutshell
123,32,Standard,15.0,,per-seat,USD,"[""All features included"", ""No tiers"", ""No contracts""]",Less Annoying CRM
124,33,Basic,12.0,,per-seat,USD,"[""Unlimited boards"", ""Unlimited contacts"", ""1 pipeline""]",monday CRM
125,33,Standard,17.0,,per-seat,USD,"[""Email integration"", ""Activity management"", ""Quotes""]",monday CRM
126,33,Pro,28.0,,per-seat,USD,"[""Sales forecasting"", ""Email tracking"", ""Automations""]",monday CRM
127,33,Enterprise,,,per-seat,USD,"[""Lead scoring"", ""Advanced analytics"", ""HIPAA""]",monday CRM
128,34,Standard,24.0,,per-seat,USD,"[""Pipeline management"", ""Email campaigns"", ""Contact enrichment"", ""AI Assistants"", ""LinkedIn extension""]",Folk
129,34,Premium,48.0,,per-seat,USD,"[""Custom objects & Deals"", ""Email sequences"", ""Advanced roles & permissions"", ""Dashboards"", ""API access""]",Folk
130,34,Custom,,,flat,USD,"[""Custom pricing"", ""Dedicated support""]",Folk
131,35,Free,0.0,,flat,USD,"[""250 contacts"", ""2 users""]",Capsule CRM
132,35,Starter,21.0,,per-seat,USD,"[""30K contacts"", ""1 pipeline""]",Capsule CRM
133,35,Growth,38.0,,per-seat,USD,"[""60K contacts"", ""5 pipelines"", ""Workflow automation""]",Capsule CRM
134,35,Advanced,60.0,,per-seat,USD,"[""120K contacts"", ""50 pipelines"", ""Custom reports""]",Capsule CRM
135,35,Ultimate,75.0,,per-seat,USD,"[""240K contacts"", ""Implementation support""]",Capsule CRM
136,36,Free,0.0,,flat,USD,"[""3 seats"", ""Unlimited contacts"", ""Core CRM""]",Attio
137,36,Plus,34.0,,per-seat,USD,"[""Advanced lists"", ""Multi-currency"", ""Enrichment""]",Attio
138,36,Pro,69.0,,per-seat,USD,"[""Advanced reporting"", ""Automations"", ""API""]",Attio
139,36,Enterprise,,,per-seat,USD,"[""SAML/SCIM"", ""Audit logs"", ""Custom SLA""]",Attio
140,37,Free,0.0,,flat,USD,"[""500 contacts"", ""1000 emails/mo"", ""1 audience""]",Mailchimp
141,37,Essentials,13.0,,flat,USD,"[""500 contacts"", ""5000 emails/mo"", ""3 audiences""]",Mailchimp
142,37,Standard,20.0,,flat,USD,"[""500 contacts"", ""6000 emails/mo"", ""Automation""]",Mailchimp
143,37,Premium,350.0,,flat,USD,"[""10K contacts"", ""150K emails/mo"", ""Unlimited audiences""]",Mailchimp
144,38,Newsletter,0.0,,flat,USD,"[""10K subscribers"", ""Landing pages"", ""Forms""]",Kit (ConvertKit)
145,38,Creator,33.0,,flat,USD,"[""1K subs"", ""Automation"", ""Integrations""]",Kit (ConvertKit)
146,38,Pro,66.0,,flat,USD,"[""1K subs"", ""Deliverability reporting"", ""Facebook audiences""]",Kit (ConvertKit)
147,39,Starter,15.0,,flat,USD,"[""1000 contacts"", ""1 user"", ""Email campaigns""]",ActiveCampaign
148,39,Plus,49.0,,flat,USD,"[""1000 contacts"", ""3 users"", ""Landing pages"", ""CRM""]",ActiveCampaign
149,39,Pro,79.0,,flat,USD,"[""1000 contacts"", ""5 users"", ""Predictive sending""]",ActiveCampaign
150,39,Enterprise,145.0,,flat,USD,"[""1000 contacts"", ""10 users"", ""Custom reporting""]",ActiveCampaign
151,40,Starter,9.0,,flat,USD,"[""5,000 emails/mo"", ""Email & SMS"", ""Drag & drop editor"", ""AI content generator""]",Brevo (Sendinblue)
152,40,Standard,18.0,,flat,USD,"[""Everything in Starter"", ""Marketing automation"", ""A/B testing"", ""AI send time""]",Brevo (Sendinblue)
153,40,Professional,49.0,,flat,USD,"[""150,000 emails/mo"", ""WhatsApp, Push"", ""Multi-user (10 seats)"", ""AI segmentation""]",Brevo (Sendinblue)
154,40,Enterprise,,,flat,USD,"[""Unlimited contacts"", ""Dedicated IP"", ""SLA""]",Brevo (Sendinblue)
155,41,Free,0.0,,flat,USD,"[""250 contacts"", ""500 emails/mo"", ""150 SMS""]",Klaviyo
156,41,Email,20.0,,flat,USD,"[""251-500 contacts"", ""5000 emails/mo""]",Klaviyo
157,41,Email & SMS,35.0,,flat,USD,"[""251-500 contacts"", ""5000 emails/mo"", ""1250 SMS""]",Klaviyo
158,42,Email,39.0,,flat,USD,"[""2500 contacts"", ""Unlimited emails"", ""All features included""]",Drip
159,43,Free,0.0,,flat,USD,"[""500 subscribers"", ""3000 emails/mo"", ""1 landing page""]",AWeber
160,43,Lite,14.99,,flat,USD,"[""500 subscribers"", ""Unlimited emails"", ""3 automations""]",AWeber
161,43,Plus,29.99,,flat,USD,"[""500 subscribers"", ""Unlimited automations"", ""A/B testing""]",AWeber
162,43,Unlimited,899.0,,flat,USD,"[""Unlimited subscribers"", ""Priority support""]",AWeber
163,44,Free,0.0,,flat,USD,"[""500 contacts"", ""2500 emails/mo""]",GetResponse
164,44,Email Marketing,19.0,,flat,USD,"[""1000 contacts"", ""Unlimited emails"", ""AI email generator""]",GetResponse
165,44,Marketing Automation,59.0,,flat,USD,"[""1000 contacts"", ""Event-based workflows"", ""Webinars""]",GetResponse
166,44,Ecommerce Marketing,119.0,,flat,USD,"[""1000 contacts"", ""Promo codes"", ""Product recommendations""]",GetResponse
167,44,GetResponse MAX,,,flat,USD,"[""Custom contacts"", ""Dedicated IP"", ""SSO""]",GetResponse
168,45,Lite,12.0,,flat,USD,"[""500 contacts"", ""10x contacts emails/mo""]",Constant Contact
169,45,Standard,35.0,,flat,USD,"[""500 contacts"", ""12x contacts emails/mo"", ""Automations""]",Constant Contact
170,45,Premium,80.0,,flat,USD,"[""500 contacts"", ""24x contacts emails/mo"", ""Dynamic content""]",Constant Contact
171,46,Free,0.0,,flat,USD,"[""1000 subscribers"", ""12K emails/mo""]",MailerLite
172,46,Growing Business,10.0,,flat,USD,"[""500 subscribers"", ""Unlimited emails"", ""Sell digital products""]",MailerLite
173,46,Advanced,20.0,,flat,USD,"[""500 subscribers"", ""AI assistant"", ""Facebook integration""]",MailerLite
174,46,Enterprise,,,flat,USD,"[""100K+ subscribers"", ""Dedicated IP""]",MailerLite
175,47,Launch,0.0,,flat,USD,"[""2500 subscribers"", ""Unlimited emails""]",beehiiv
176,47,Scale,43.0,,flat,USD,"[""100K subscribers"", ""Custom domains"", ""Ad network""]",beehiiv
177,47,Max,96.0,,flat,USD,"[""100K subscribers"", ""Priority support"", ""NewsGPT AI""]",beehiiv
178,47,Enterprise,,,flat,USD,"[""Custom everything"", ""Dedicated support""]",beehiiv
179,48,Free,0.0,,flat,USD,"[""250 contacts"", ""500 emails/mo"", ""60 SMS""]",Omnisend
180,48,Standard,16.0,,flat,USD,"[""500 contacts"", ""6000 emails/mo"", ""Unlimited push""]",Omnisend
181,48,Pro,59.0,,flat,USD,"[""2500 contacts"", ""Unlimited emails"", ""Advanced reporting""]",Omnisend
182,49,Pro,9.0,,flat,USD,"[""500 subscribers"", ""Unlimited emails"", ""Automation""]",Moosend
183,49,Enterprise,,,flat,USD,"[""Custom plan"", ""Dedicated IP"", ""Priority support""]",Moosend
184,50,Lite,12.0,,flat,USD,"[""500 contacts"", ""2500 emails/mo""]",Campaign Monitor
185,50,Essentials,29.0,,flat,USD,"[""500 contacts"", ""Unlimited emails"", ""Automation""]",Campaign Monitor
186,50,Premier,159.0,,flat,USD,"[""500 contacts"", ""Phone support"", ""Advanced analytics""]",Campaign Monitor
187,51,Free,0.0,,flat,USD,"[""2500 subscribers"", ""15K emails/mo""]",Sender
188,51,Standard,10.0,,flat,USD,"[""2500 subscribers"", ""30K emails/mo"", ""SMS"", ""Automation""]",Sender
189,51,Professional,35.0,,flat,USD,"[""2500 subscribers"", ""60K emails/mo"", ""Animated countdown""]",Sender
190,51,Enterprise,,,flat,USD,"[""Dedicated IP"", ""Custom sending"", ""Dedicated manager""]",Sender
191,52,Free,0.0,,flat,USD,"[""Forms & landing pages"", ""Designer templates"", ""Audience segmentation"", ""Email sending""]",Flodesk
192,52,Lite,25.0,,flat,USD,"[""Everything in Free"", ""Up to 1,000 subscribers"", ""Unlimited sends"", ""Email automation""]",Flodesk
193,52,Pro,49.0,,flat,USD,"[""Unlimited subscribers"", ""Advanced automation"", ""Analytics"", ""Custom domains""]",Flodesk
194,52,Everything,64.0,,flat,USD,"[""Everything in Pro"", ""Checkout & payments"", ""Sales pages"", ""Digital products""]",Flodesk
195,53,Free,0.0,,flat,USD,"[""100 subscribers""]",Buttondown
196,53,Basic,9.0,,flat,USD,"[""1000 subscribers"", ""Custom domain""]",Buttondown
197,53,Standard,29.0,,flat,USD,"[""5000 subscribers"", ""Automation"", ""Surveys""]",Buttondown
198,53,Professional,79.0,,flat,USD,"[""10K subscribers"", ""API access"", ""Priority support""]",Buttondown
199,54,Free,0.0,,flat,USD,"[""1000 contacts"", ""2000 emails/mo""]",Loops
200,54,Starter,49.0,,flat,USD,"[""5000 contacts"", ""Custom domain""]",Loops
201,54,Growth,149.0,,flat,USD,"[""25K contacts"", ""Priority support""]",Loops
202,54,Pro,599.0,,flat,USD,"[""100K contacts"", ""Dedicated IP""]",Loops
203,55,Free,0.0,,flat,USD,"[""WordPress.com subdomain"", ""1GB storage""]",WordPress.com
204,55,Starter,4.0,,flat,USD,"[""Custom domain"", ""6GB storage""]",WordPress.com
205,55,Explorer,8.0,,flat,USD,"[""50GB storage"", ""Ad-free""]",WordPress.com
206,55,Creator,25.0,,flat,USD,"[""50GB storage"", ""Plugins"", ""Themes""]",WordPress.com
207,55,Entrepreneur,45.0,,flat,USD,"[""50GB storage"", ""E-commerce""]",WordPress.com
208,56,Free,0.0,,flat,USD,"[""Wix branding"", ""500MB storage""]",Wix
209,56,Light,17.0,,flat,USD,"[""Custom domain"", ""2GB storage""]",Wix
210,56,Core,29.0,,flat,USD,"[""50GB storage"", ""Accept payments""]",Wix
211,56,Business,36.0,,flat,USD,"[""100GB storage"", ""Subscriptions""]",Wix
212,56,Business Elite,159.0,,flat,USD,"[""Unlimited storage"", ""Priority support""]",Wix
213,57,Personal,16.0,,flat,USD,"[""Custom domain"", ""Unlimited bandwidth"", ""SSL""]",Squarespace
214,57,Business,33.0,,flat,USD,"[""E-commerce"", ""Custom CSS/JS"", ""Popup""]",Squarespace
215,57,Commerce Basic,36.0,,flat,USD,"[""No transaction fees"", ""POS""]",Squarespace
216,57,Commerce Advanced,65.0,,flat,USD,"[""Abandoned cart"", ""Subscriptions""]",Squarespace
217,58,Starter,0.0,,flat,USD,"[""2 pages"", ""Webflow.io domain"", ""Basic hosting""]",Webflow
218,58,Basic,14.0,168.0,flat,USD,"[""Custom domain"", ""150 pages"", ""Unlimited form submits""]",Webflow
219,58,CMS,23.0,276.0,flat,USD,"[""Custom domain"", ""2,000 CMS items"", ""50GB bandwidth""]",Webflow
220,58,Business,39.0,468.0,flat,USD,"[""10,000 CMS items"", ""Advanced SEO"", ""Form file upload""]",Webflow
221,58,Enterprise,,,flat,USD,"[""Custom SLA"", ""Dedicated support"", ""SSO""]",Webflow
222,59,Free,0.0,,flat,USD,"[""Framer subdomain"", ""1000 visitors/mo""]",Framer
223,59,Mini,5.0,,flat,USD,"[""Custom domain"", ""Custom 404""]",Framer
224,59,Basic,15.0,,flat,USD,"[""10K visitors/mo"", ""CMS"", ""Forms""]",Framer
225,59,Pro,30.0,,flat,USD,"[""200K visitors/mo"", ""Password protect""]",Framer
226,59,Enterprise,,,flat,USD,"[""Unlimited"", ""SLA"", ""Security""]",Framer
227,60,Free,0.0,,flat,USD,"[""3 sites"", ""carrd.co domain""]",Carrd
228,60,Pro Lite,9.0,108.0,flat,USD,"[""3 sites"", ""Custom domain"", ""Forms""]",Carrd
229,60,Pro Standard,19.0,228.0,flat,USD,"[""10 sites"", ""Google Analytics""]",Carrd
230,60,Pro Plus,49.0,588.0,flat,USD,"[""25 sites"", ""Widgets"", ""Custom code""]",Carrd
231,61,Starter,15.0,180.0,flat,USD,"[""1 staff user"", ""Custom domain"", ""Email newsletter"", ""1,000 members""]",Ghost
232,61,Publisher,29.0,348.0,flat,USD,"[""3 staff users"", ""Custom themes"", ""Paid subscriptions"", ""1,000 members""]",Ghost
233,61,Business,199.0,2388.0,flat,USD,"[""15 staff users"", ""Priority support"", ""10,000 members""]",Ghost
234,61,Custom,,,flat,USD,"[""Unlimited staff"", ""Dedicated IP"", ""99.9% SLA""]",Ghost
235,62,Basic,39.0,,flat,USD,"[""Basic reports"", ""2 staff accounts""]",Shopify
236,62,Shopify,105.0,,flat,USD,"[""Professional reports"", ""5 staff accounts""]",Shopify
237,62,Advanced,399.0,,flat,USD,"[""Custom reports"", ""15 staff accounts""]",Shopify
238,62,Plus,2300.0,,flat,USD,"[""Unlimited staff"", ""Checkout customization""]",Shopify
239,63,Free,0.0,,flat,USD,"[""Weebly subdomain"", ""500MB storage""]",Weebly
240,63,Personal,13.0,,flat,USD,"[""Custom domain"", ""Unlimited storage""]",Weebly
241,63,Professional,16.0,,flat,USD,"[""Site search"", ""Video backgrounds""]",Weebly
242,63,Performance,29.0,,flat,USD,"[""E-commerce"", ""Shipping labels""]",Weebly
243,64,Basic,25.0,,flat,USD,"[""1 site"", ""Widget builder""]",Duda
244,64,Team,39.0,,flat,USD,"[""4 sites"", ""Client management""]",Duda
245,64,Agency,69.0,,flat,USD,"[""Unlimited sites"", ""White label""]",Duda
246,64,White Label,199.0,,flat,USD,"[""Full white label"", ""Custom branding""]",Duda
247,65,Free,0.0,,flat,USD,"[""Webnode subdomain"", ""100MB storage""]",Webnode
248,65,Limited,3.9,,flat,USD,"[""Custom domain"", ""No Webnode ads""]",Webnode
249,65,Mini,7.5,,flat,USD,"[""500MB storage"", ""Google Analytics""]",Webnode
250,65,Standard,12.9,,flat,USD,"[""2GB storage"", ""Newsletter""]",Webnode
251,65,Profi,22.9,,flat,USD,"[""5GB storage"", ""E-commerce""]",Webnode
252,66,Free,0.0,,flat,USD,"[""1 site"", ""5GB bandwidth""]",Strikingly
253,66,Limited,12.0,,flat,USD,"[""Custom domain"", ""Limited store""]",Strikingly
254,66,Pro,20.0,,flat,USD,"[""3 sites"", ""Membership"", ""Full store""]",Strikingly
